Country ;Population
China;1 362 010 000
India;1 238 570 000
United States;317 400 000
Indonesia;249 866 000
Brazil;201 032 714
Pakistan;185 256 000
Nigeria;173 615 000
Bangladesh;152 518 015
Russia;143 600 000
Japan;127 270 000
Mexico;118 395 054
Philippines;98 915 000
Vietnam;90 388 000
Ethiopia;86 613 986
Egypt;83 661 000
Germany;80 586 000
Iran;77 112 000
Turkey;75 627 384
Democratic Republic of the Congo;67 514 000
Thailand;65 926 261
France;65 834 000
United Kingdom;63 705 000
Italy;59 901 141
Burma;53 259 000
South Africa;52 981 991
South Korea;50 219 669
Colombia;47 401 000
Spain;46 704 314
Ukraine;45 447 010
Tanzania;44 928 923
Kenya;44 354 000
Argentina;40 117 096
Algeria;38 700 000
Poland;38 502 396
Sudan;37 964 000
Uganda;35 357 000
Canada;35 295 770
Iraq;34 035 000
Morocco;33 132 100
Peru;30 475 144
Uzbekistan;30 183 400
Saudi Arabia;29 994 272
Malaysia;29 950 000
Venezuela;28 946 101
Nepal;26 494 504
Afghanistan;25 500 100
Yemen;25 235 000
North Korea;24 895 000
Ghana;24 658 823
Mozambique;23 700 715
Taiwan;23 367 320
Australia;23 335 808
Ivory Coast;23 202 000
Syria;21 898 000
Madagascar;21 263 403
Angola;20 609 294
Cameroon;20 386 799
Sri Lanka;20 277 597
Romania;20 121 641
Burkina Faso;17 322 796
Niger;17 129 076
Kazakhstan;17 099 000
Netherlands;16 832 700
Chile;16 634 603
Malawi;16 363 000
Ecuador;15 649 100
Guatemala;15 438 384
Mali;15 302 000
Cambodia;15 135 000
Senegal;13 567 338
Zambia;13 092 666
Zimbabwe;12 973 808
Chad;12 825 000
South Sudan;11 296 000
Belgium;11 180 320
Cuba;11 167 325
Tunisia;10 833 431
Guinea;10 824 200
Greece;10 815 197
Portugal;10 487 289
Rwanda;10 537 222
Czech Republic;10 513 800
Somalia;10 496 000
Haiti;10 413 211
Benin;10 323 000
Burundi;10 163 000
Bolivia;10 027 254
Hungary;9 906 000
Sweden;9 633 490
Belarus;9 467 200
Dominican Republic;9 445 281
Azerbaijan;9 235 100
Honduras;8 555 072
Austria;8 501 502
United Arab Emirates;8 264 070
Israel;8 132 000
Switzerland;8 112 200
Tajikistan;8 000 000
Bulgaria;7 282 041
Hong Kong (China);7 184 000
Serbia;7 181 505
Papua New Guinea;7 059 653
Paraguay;6 783 374
Laos;6 580 800
Jordan;6 531 200
El Salvador;6 340 000
Eritrea;6 333 000
Libya;6 202 000
Togo;6 191 155
Sierra Leone;6 190 280
Nicaragua;6 071 045
Kyrgyzstan;5 747 000
Denmark;5 623 501
Finland;5 449 657
Slovakia;5 412 008
Singapore;5 399 200
Turkmenistan;5 240 000
Norway;5 096 300
Lebanon;4 822 000
Costa Rica;4 667 096
Central African Republic;4 616 000
Ireland;4 593 100
Georgia;4 483 800
New Zealand;4 504 860
Republic of the Congo;4 448 000
Palestine;4 420 549
Liberia;4 294 000
Croatia;4 290 612
Oman;3 929 000
Bosnia and Herzegovina;3 791 622
Puerto Rico;3 615 086
Kuwait;3 582 054
Moldov;3 559 500
Mauritania;3 461 041
Panama;3 405 813
Uruguay;3 286 314
Armenia;3 024 100
Lithuania;2 945 951
Albania;2 821 977
Mongolia;2 754 685
Jamaica;2 711 476
Namibia;2 113 077
Lesotho;2 074 000
Qatar;2 068 050
Macedonia;2 062 294
Slovenia;2 061 171
Botswana;2 024 904
Latvia;2 008 700
Gambia;1 849 000
Kosovo;1 815 606
Guinea-Bissau;1 704 000
Gabon;1 672 000
Equatorial Guinea;1 622 000
Trinidad and Tobago;1 328 019
Estonia;1 286 540
Mauritius;1 257 900
Swaziland;1 250 000
Bahrain;1 234 571
Timor-Leste;1 066 409
Djibouti;873 000
Cyprus;865 878
Fiji;858 038
Reunion (France);821 136
Guyana;784 894
Comoros;743 797
Bhutan;742 610
Montenegro;620 029
Macau (China);598 200
Solomon Islands;581 344
Western Sahara;567 000
Luxembourg;537 000
Suriname;534 189
Cape Verde;491 875
Malta;416 055
Guadeloupe (France);403 355
Martinique (France);394 173
Brunei;393 162
Bahamas;351 461
Iceland;325 010
Maldives;317 280
Belize;312 971
Barbados;274 200
French Polynesia (France);268 270
Vanuatu;264 652
New Caledonia (France);258 958
French Guiana (France);229 040
Mayotte (France);212 600
Samoa;187 820
Sao Tom and Principe;187 356
Saint Lucia;166 526
Guam (USA);159 358
Curacao (Netherlands);150 563
Saint Vincent and the Grenadines;109 000
Kiribati;106 461
United States Virgin Islands (USA);106 405
Grenada;103 328
Tonga;103 036
Aruba (Netherlands);101 484
Federated States of Micronesia;101 351
Jersey (UK);97 857
Seychelles;90 945
Antigua and Barbuda;86 295
Isle of Man (UK);84 497
Andorra;76 246
Dominica;71 293
Bermuda (UK);64 237
Guernsey (UK);63 085
Greenland (Denmark);56 370
Marshall Islands;56 086
American Samoa (USA);55 519
Cayman Islands (UK);55 456
Saint Kitts and Nevis;54 000
Northern Mariana Islands (USA);53 883
Faroe Islands (Denmark);48 159
Sint Maarten (Netherlands);37 429
Saint Martin (France);36 979
Liechtenstein;36 942
Monaco;36 136
San Marino;32 499
Turks and Caicos Islands (UK);31 458
Gibraltar (UK);30 001
British Virgin Islands (UK);29 537
Aland Islands (Finland);28 502
Caribbean Netherlands (Netherlands);23 296
Palau;20 901
Cook Islands (NZ);14 974
Anguilla (UK);13 452
Wallis and Futuna (France);13 135
Tuvalu;11 323
Nauru;9 945
Saint Barthelemy (France);8 938
Saint Pierre and Miquelon (France);6 081
Montserrat (UK);4 922
Saint Helena, Ascension and Tristan da Cunha (UK);4 000
Svalbard and Jan Mayen (Norway);2 655
Falkland Islands (UK);2 563
Norfolk Island (Australia);2 302
Christmas Island (Australia);2 072
Niue (NZ);1 613
Tokelau (NZ);1 411
Vatican City;800
Cocos (Keeling) Islands (Australia);550
Pitcairn Islands (UK);56
